Zipcode,Household_Income,Income_per_Capita,Population
95002,91667.0,32310.0,2146.0
95006,90130.0,49880.0,9238.0
95019,46038.0,18877.0,7703.0
95119,118090.0,42580.0,10472.0
95127,92419.0,30157.0,65686.0
95128,88007.0,44611.0,37665.0
94702,78289.0,47049.0,17092.0
94704,31379.0,19692.0,29190.0
94707,149081.0,86585.0,11916.0
94904,129727.0,101282.0,12590.0
94014,88942.0,31989.0,49515.0
94020,116705.0,63657.0,1334.0
94028,220625.0,112644.0,6868.0
94040,129188.0,73521.0,35845.0
94102,41835.0,49103.0,31067.0
94111,110455.0,95683.0,3620.0
94010,144281.0,89944.0,42730.0
94044,115602.0,50826.0,39065.0
92106,102250.0,59840.0,19080.0
92108,72170.0,45628.0,22565.0
92109,77774.0,50446.0,48417.0
92121,106688.0,51946.0,4655.0
92128,97952.0,48630.0,51066.0
92227,43460.0,17973.0,27255.0
92249,44293.0,14547.0,7898.0
92257,21250.0,15896.0,1332.0
92264,50795.0,47152.0,19881.0
92277,40903.0,20826.0,23517.0
92301,38591.0,12496.0,33967.0
92315,51083.0,33110.0,5234.0
92105,40947.0,18338.0,72848.0
92107,82522.0,48291.0,31148.0
92805,63691.0,21779.0,74413.0
92596,101327.0,30702.0,30573.0
92780,70536.0,30388.0,61660.0
92010,102095.0,44911.0,16131.0
92011,114691.0,59956.0,24382.0
92058,46010.0,21442.0,45894.0
92081,76134.0,34082.0,29405.0
92145,162700.0,68622.0,2389.0
92322,29750.0,21683.0,686.0
92344,82229.0,26853.0,23003.0
92378,78571.0,29045.0,263.0
92385,49464.0,31849.0,202.0
92391,43523.0,21850.0,2479.0
92395,47921.0,21894.0,42741.0
92603,131196.0,75995.0,19650.0
92617,39135.0,20321.0,17086.0
92637,41928.0,40882.0,16228.0
92678,90962.0,40068.0,570.0
92394,53636.0,16621.0,35365.0
92544,49793.0,22062.0,48923.0
92067,163281.0,74256.0,8756.0
92250,53042.0,19452.0,8979.0
92545,46910.0,22929.0,42248.0
92626,84968.0,42080.0,50541.0
92019,82261.0,35726.0,42400.0
93001,65884.0,33782.0,33185.0
93013,77711.0,47044.0,16644.0
93041,63103.0,23651.0,24506.0
93101,56697.0,33101.0,31624.0
93206,36172.0,15143.0,1970.0
93004,82240.0,36966.0,30502.0
93021,104483.0,43826.0,38063.0
93022,75500.0,35511.0,7232.0
93222,60742.0,36503.0,1481.0
93234,24412.0,9598.0,7260.0
93242,44741.0,20173.0,3541.0
